cell,state,dV_mV_at_minus50pA,derived_Rin_MOhm,workbook_Rin_numeric,source_workbook_sha256
240109f01c01R,NS,-6.26043,125.2086,125.2086,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240112f01c01L,NS,-5.26901,105.3802,105.3802,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240125f01c01L,NS,-6.00282,120.0564,120.0564,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240126f02c01R,NS,-4.04608,80.9216,80.9216,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240126f03c01L,NS,-5.00212,100.0424,100.0424,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240201f01c01L,NS,-5.59013,111.8026,111.8026,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240202f01c01R,NS,-6.88089,137.6178,137.6178,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240226f01c01R,NS,-6.02904,120.5808,120.5808,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240229f01c01R,NS,-5.50178,110.0356,110.0356,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240304f01c01L,NS,-6.50295,130.059,130.059,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240711f02c01L,NS,-6.03967,120.7934,120.7934,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240712f01c01R,NS,-6.83142,136.6284,136.6284,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240712f02c01L,NS,-6.70173,134.0346,134.0346,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240715f02c01L,NS,-6.43626,128.7252,128.7252,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240716f01c01L,NS,-5.79423,115.8846,115.8846,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240716f01c02R,NS,-6.54568,130.9136,130.9136,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240729f02c01R,NS,-6.638,132.76,132.76,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
240930f01c01R,NS,-6.86858,137.3716,137.3716,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
241024f01c01R,NS,-6.38103,127.6206,127.6206,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
241029f01c01L,NS,-9.93714,198.7428,198.7428,419644f8806d4189b032cdcc578320904c3c666770fae680ef126c4d511349b7
